parentSKU,SKU,name,slug,description,class,price,salePrice,taxonomies.productType,featuredImage,thumbnail,images,stockQuantity,totalSales,taxonomies.disc-type,attributes.color,attributes.plastic,attributes.rimColor,netWeight,taxonomies.brand,attributes.fade,attributes.glide,attributes.inboundsId,attributes.speed,attributes.turn
VOLT,VOLT_PROTON_1732,"Volt - Color: red, Plastic: proton, Rim Color: black, Scaled Weight: 173-2g",product-77-variation-7,,Variation,14,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321.png,https://hyzershop.com/wp-content/uploads/mvp-volt-proton-17321-150x150.png,,1,,,Red,Proton,Black,173.2g,MVP Disc Sports,,,,,
VOLT,VOLT_NEUTRON_1749,"Volt - Color: pink, Plastic: neutron, Rim Color: black, Scaled Weight: 174-9g",product-77-variation-8,,Variation,15,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17491.png,https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17491-150x150.png,,1,,,Pink,Neutron,Black,174.9g,MVP Disc Sports,,,,,
VOLT,VOLT_NEUTRON_1756,"Volt - Color: purple, Plastic: neutron, Rim Color: black, Scaled Weight: 175-6g",product-77-variation-9,,Variation,15,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17561.png,https://hyzershop.com/wp-content/uploads/mvp-volt-neutron-17561-150x150.png,,1,,,Purple,Neutron,Black,175.6g,MVP Disc Sports,,,,,
VOLT,VOLT_FISSION_1601,"Volt - Color: pink, Plastic: fission, Rim Color: black, Scaled Weight: 160-1g",product-77-variation-10,,Variation,17,,Discs,https://hyzershop.com/wp-content/uploads/mvp-volt-fission-1601.png,https://hyzershop.com/wp-content/uploads/mvp-volt-fission-1601-150x150.png,,1,,,Pink,Fission,Black,160.1g,MVP Disc Sports,,,,,
,ATOM,Atom,mvp-atom,"<strong>Manufacturer's Description:</strong>
The Atom is a straight-stable putt and approach disc optimized for Electron Plastic.
The Atom is a straight flyer with enormous potential off the tee and on long approaches. Right off the shelf, the Atom has a neutral stability with just a bit of fade. Over time the Atom will wear in to an extremely straight and floaty putter. The Atom combines Electron baseline putter plastic with the extended flight phases of GYROŠÜ¢ Overmold Technology, producing a tactile and controllable go-to putter.
The Atom is currently the only MVP disc in the 10mm Putt & Approach class.",Variable,13,13,Discs,https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1737.png,https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1737-150x150.png,https://hyzershop.com/wp-content/uploads/mvp-atom-electron-1628.png|https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1737.png|https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1676.png,3,7,Putters,Blue|Coral|Hot Pink|Light Pink|Light Purple|Light Yellow|Purple|Red,Electron|Electron (Soft),,162.8g|167.6g|170.4g|170.8g|172.1g|172.3g|173.0g|173.4g|173.7g|173.9g|174.7g,MVP Disc Sports,0,3,3769211,2,0
ATOM,ATOM_SOFTELECTRON_1676,"Atom - Plastic: electron-soft, Scaled Weight: 167-6g, Color: light-purple",product-90-variation,,Variation,13,,Discs,https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1676.png,https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1676-150x150.png,,1,,,Light Purple,Electron (Soft),,167.6g,MVP Disc Sports,,,,,
ATOM,ATOM_SOFTELECTRON_1737,"Atom - Plastic: electron-soft, Scaled Weight: 173-7g, Color: blue",product-90-variation-2,,Variation,13,,Discs,https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1737.png,https://hyzershop.com/wp-content/uploads/mvp-atom-softelectron-1737-150x150.png,,1,,,Blue,Electron (Soft),,173.7g,MVP Disc Sports,,,,,
ATOM,ATOM_ELECTRON_1628,"Atom - Plastic: electron, Scaled Weight: 162-8g, Color: light-pink",product-90-variation-3,,Variation,13,,Discs,https://hyzershop.com/wp-content/uploads/mvp-atom-electron-1628.png,https://hyzershop.com/wp-content/uploads/mvp-atom-electron-1628-150x150.png,,1,,,Light Pink,Electron,,162.8g,MVP Disc Sports,,,,,
ATOM,ATOM_ELECTRON_1739,"Atom - Plastic: electron, Scaled Weight: 173-9g, Color: purple",product-90-variation-4,,Variation,13,,Discs,,,,,,,Purple,Electron,,173.9g,MVP Disc Sports,,,,,
ATOM,ATOM_ELECTRON_1721,"Atom - Plastic: electron, Scaled Weight: 172-1g, Color: purple",product-90-variation-5,,Variation,13,,Discs,,,,,,,Purple,Electron,,172.1g,MVP Disc Sports,,,,,
